herramienta,umbral_topN,n_guias_exp,guias_con_match,porcentaje
CHOPCHOP,3,40,0,0
CHOPCHOP,5,40,1,2.5
CHOPCHOP,10,40,2,5
CHOPCHOP,20,40,6,15
CHOPCHOP,50,40,15,37.5
CHOPCHOP,100,40,18,45
CHOPCHOP,200,40,20,50
CHOPCHOP,500,40,23,57.5
CHOPCHOP,1000,40,24,60
CHOPCHOP,1260,40,25,62.5
CHOPCHOP,5000,40,25,62.5
CHOPCHOP,10000,40,25,62.5
crisprVerse,3,40,0,0
crisprVerse,5,40,1,2.5
crisprVerse,10,40,1,2.5
crisprVerse,20,40,1,2.5
crisprVerse,50,40,3,7.5
crisprVerse,100,40,6,15
crisprVerse,200,40,12,30
crisprVerse,500,40,18,45
crisprVerse,1000,40,27,67.5
crisprVerse,5000,40,37,92.5
crisprVerse,10000,40,38,95
crisprVerse,21740,40,40,100
