gene,guia_id,herramienta,total_candidatos,posicion_exacta,mejor_hamming,posicion_mejor,primera_pos_h1,primera_pos_h2,primera_pos_h3,primera_pos_h5
CTR9,A,CHOPCHOP,449,NA,7,15,NA,NA,NA,NA
CTR9,B,CHOPCHOP,449,NA,1,36,36,36,36,36
DDX41,A,CHOPCHOP,455,NA,1,14,14,14,14,14
DDX41,B,CHOPCHOP,455,NA,1,32,32,32,32,32
DNAJC19,A,CHOPCHOP,85,NA,11,84,NA,NA,NA,NA
DNAJC19,B,CHOPCHOP,85,NA,10,48,NA,NA,NA,NA
GAB2,A,CHOPCHOP,1085,NA,5,1058,NA,NA,NA,1058
GAB2,B,CHOPCHOP,1085,NA,8,781,NA,NA,NA,NA
GATA1,A,CHOPCHOP,359,NA,1,256,256,256,256,256
GATA1,B,CHOPCHOP,359,136,0,136,136,136,136,136
HSPA9,A,CHOPCHOP,477,NA,1,41,41,41,41,41
HSPA9,B,CHOPCHOP,477,NA,1,35,35,35,35,35
INTS2,A,CHOPCHOP,523,NA,10,374,NA,NA,NA,NA
INTS2,B,CHOPCHOP,523,NA,1,19,19,19,19,19
INTS8,A,CHOPCHOP,338,NA,1,134,134,134,134,134
INTS8,B,CHOPCHOP,338,NA,9,237,NA,NA,NA,NA
MED12,A,CHOPCHOP,1260,NA,1,7,7,7,7,7
MED12,B,CHOPCHOP,1260,NA,1,1109,1109,1109,1109,1109
MED19,A,CHOPCHOP,186,NA,1,33,33,33,33,33
MED19,B,CHOPCHOP,186,NA,1,20,20,20,20,20
MED30,A,CHOPCHOP,100,55,0,55,55,55,55,55
MED30,B,CHOPCHOP,100,28,0,28,28,28,28,28
NCBP2,A,CHOPCHOP,187,NA,10,7,NA,NA,NA,NA
NCBP2,B,CHOPCHOP,187,NA,8,80,NA,NA,NA,NA
PAF1,A,CHOPCHOP,381,NA,8,211,NA,NA,NA,NA
PAF1,B,CHOPCHOP,381,NA,1,18,18,18,18,18
PHB,A,CHOPCHOP,262,223,0,223,223,223,223,223
PHB,B,CHOPCHOP,262,NA,9,91,NA,NA,NA,NA
PHB2,A,CHOPCHOP,262,35,0,35,35,35,35,35
PHB2,B,CHOPCHOP,262,66,0,66,66,66,66,66
POLR2B,A,CHOPCHOP,369,NA,9,116,NA,NA,NA,NA
POLR2B,B,CHOPCHOP,369,NA,8,108,NA,NA,NA,NA
SRRT,A,CHOPCHOP,668,NA,1,422,422,422,422,422
SRRT,B,CHOPCHOP,668,48,0,48,48,48,48,48
SUPT5H,A,CHOPCHOP,893,NA,8,731,NA,NA,NA,NA
SUPT5H,B,CHOPCHOP,893,NA,7,775,NA,NA,NA,NA
SUPT6H,A,CHOPCHOP,1178,4,0,4,4,4,4,4
SUPT6H,B,CHOPCHOP,1178,939,0,939,939,939,939,939
TIMM23B,A,CHOPCHOP,245,NA,1,31,31,31,31,31
TIMM23B,B,CHOPCHOP,245,NA,1,65,65,65,65,65
CTR9,A,crisprVerse,5121,NA,1,3205,3205,3205,3205,3205
CTR9,B,crisprVerse,5121,NA,1,939,939,939,939,939
DDX41,A,crisprVerse,1088,NA,1,317,317,317,317,317
DDX41,B,crisprVerse,1088,NA,1,23,23,23,23,23
DNAJC19,A,crisprVerse,578,29,0,29,29,29,29,29
DNAJC19,B,crisprVerse,578,145,0,145,145,145,145,145
GAB2,A,crisprVerse,21740,15561,0,15561,15561,15561,15561,15561
GAB2,B,crisprVerse,21740,11841,0,11841,11841,11841,11841,11841
GATA1,A,crisprVerse,1550,NA,1,95,95,95,95,95
GATA1,B,crisprVerse,1550,877,0,877,877,877,877,877
HSPA9,A,crisprVerse,2440,NA,1,759,759,759,759,759
HSPA9,B,crisprVerse,2440,NA,1,154,154,154,154,154
INTS2,A,crisprVerse,6078,NA,1,933,933,933,933,933
INTS2,B,crisprVerse,6078,NA,1,2255,2255,2255,2255,2255
INTS8,A,crisprVerse,6846,NA,1,1039,1039,1039,1039,1039
INTS8,B,crisprVerse,6846,1040,0,1040,1040,1040,1040,1040
MED12,A,crisprVerse,4067,NA,1,1972,1972,1972,1972,1972
MED12,B,crisprVerse,4067,NA,1,1007,1007,1007,1007,1007
MED19,A,crisprVerse,1078,NA,1,168,168,168,168,168
MED19,B,crisprVerse,1078,NA,1,566,566,566,566,566
MED30,A,crisprVerse,1451,288,0,288,288,288,288,288
MED30,B,crisprVerse,1451,172,0,172,172,172,172,172
NCBP2,A,crisprVerse,821,NA,1,193,193,193,193,193
NCBP2,B,crisprVerse,821,756,0,756,756,756,756,756
PAF1,A,crisprVerse,938,413,0,413,413,413,413,413
PAF1,B,crisprVerse,938,NA,1,4,4,4,4,4
PHB,A,crisprVerse,1515,812,0,812,812,812,812,812
PHB,B,crisprVerse,1515,550,0,550,550,550,550,550
PHB2,A,crisprVerse,915,719,0,719,719,719,719,719
PHB2,B,crisprVerse,915,69,0,69,69,69,69,69
POLR2B,A,crisprVerse,5304,NA,1,3800,3800,3800,3800,3800
POLR2B,B,crisprVerse,5304,377,0,377,377,377,377,377
SRRT,A,crisprVerse,2370,NA,1,258,258,258,258,258
SRRT,B,crisprVerse,2370,62,0,62,62,62,62,62
SUPT5H,A,crisprVerse,6702,2495,0,2495,2495,2495,2495,2495
SUPT5H,B,crisprVerse,6702,NA,1,5489,5489,5489,5489,5489
SUPT6H,A,crisprVerse,5633,345,0,345,345,345,345,345
SUPT6H,B,crisprVerse,5633,2527,0,2527,2527,2527,2527,2527
TIMM23B,A,crisprVerse,3261,NA,1,143,143,143,143,143
TIMM23B,B,crisprVerse,3261,NA,1,1559,1559,1559,1559,1559
